vehicle_day_id,Region,Fleet,Vehicle ID,Date,dist,runtime,idling_time,idling_mins,driving_time,SOC,energy,temp,tdiff,over65,ptemp,speed,Efficiency,Heater,elec_heat,region_NC,region_SC,region_RM
32,NC,NC1 Lion,EV055,5/4/2022,31.42794854,3.554722222,0.024722222,1.48333332,3.53,57.680813,121.1297073,65.2775,0.2775,1,0.2775,8.685659782,3.854203437,electric,1,1,0,0
33,NC,NC1 Lion,EV055,5/5/2022,17.93580602,2.3625,0.221111111,13.26666666,2.141388889,35.93682421,75.46733086,65.24721408,0.24721408,1,0.247214075,7.654403595,4.207635319,electric,1,1,0,0
34,NC,NC1 Lion,EV055,5/6/2022,16.11708668,2.849166667,0.700833333,42.04999998,2.148333333,37.77313947,79.3235929,67.1195,2.1195,1,2.1195,5.543832855,4.921707903,electric,1,1,0,0
35,NC,NC1 Lion,EV055,5/7/2022,7.722079252,1.281666667,0.472777778,28.36666668,0.808888889,15.93689595,33.46748149,67.982,2.982,1,2.982,9.472310491,4.333998707,electric,1,1,0,0
36,NC,NC1 Lion,EV055,5/10/2022,20.97883714,2.755555556,0.342222222,20.53333332,2.413333334,52.12660414,109.4658687,45.74753519,-19.25246481,0,0,7.18791493,5.217918798,electric,1,1,0,0
37,NC,NC1 Lion,EV055,5/11/2022,18.53272103,2.439722223,0.240833333,14.44999998,2.19888889,40.66715158,85.40101834,56.828,-8.172,0,0,5.662070116,4.608120859,electric,1,1,0,0
38,NC,NC1 Lion,EV055,5/12/2022,38.8620741,5.099722222,0.638333333,38.29999998,4.46138889,95.41488126,200.3712507,52.4768,-12.5232,0,0,7.084293719,5.155958742,electric,1,1,0,0
39,NC,NC1 Lion,EV055,5/13/2022,20.39090904,2.44638889,0.193333332,11.59999992,2.253055555,43.01196269,90.32512163,65.5910176,0.5910176,1,0.591017597,8.612300617,4.429676062,electric,1,1,0,0
40,NC,NC1 Lion,EV055,5/14/2022,11.55662599,1.13,0.069166667,4.15000002,1.060833333,21.97850491,46.15486031,78.758,13.758,1,13.758,10.72422865,3.993800643,electric,1,1,0,0
41,NC,NC1 Lion,EV055,5/17/2022,5.075379076,0.619444444,0.013888889,0.83333334,0.605555556,12.67401489,26.61543127,81.635,16.635,1,16.635,5.092933205,5.244028253,electric,1,1,0,0
43,NC,NC1 Lion,EV055,5/19/2022,30.62354966,3.846388889,0.441666667,26.50000002,3.404722222,57.08995695,119.8889096,74.2364,9.2364,1,9.2364,7.482156346,3.914925308,electric,1,1,0,0
44,NC,NC1 Lion,EV055,5/20/2022,25.56194717,3.655277778,0.433055556,25.98333336,3.222222222,59.03676503,123.9772066,76.87101173,11.87101173,1,11.87101173,6.846067934,4.850068962,electric,1,1,0,0
46,NC,NC1 Lion,EV055,5/23/2022,17.3270714,1.9625,0.188333333,11.29999998,1.774166667,36.06003079,75.72606466,61.87404692,-3.12595308,0,0,7.545888158,4.370390293,electric,1,1,0,0
47,NC,NC1 Lion,EV055,5/24/2022,19.83529004,3.29638889,0.7175,43.05,2.578888889,47.50694625,99.76458713,80.30401173,15.30401173,1,15.30401173,5.81529001,5.029651039,electric,1,1,0,0
48,NC,NC1 Lion,EV055,5/25/2022,18.52673909,3.695833333,1.355833333,81.34999998,2.34,40.72464217,85.52174855,84.47700782,19.47700782,1,19.47700782,6.317671233,4.616125273,electric,1,1,0,0
49,NC,NC1 Lion,EV055,5/26/2022,23.7622399,3.147777778,0.553333333,33.19999998,2.594444445,50.13669208,105.2870534,78.131,13.131,1,13.131,7.845437006,4.430855585,electric,1,1,0,0
50,NC,NC1 Lion,EV055,5/27/2022,20.77688475,2.141111111,0.129166667,7.75000002,2.011944444,47.47226324,99.6917528,62.87457038,-2.12542962,0,0,7.792161827,4.798205024,electric,1,1,0,0
51,NC,NC1 Lion,EV055,5/28/2022,5.387685751,0.886944444,0.229444444,13.76666664,0.6575,16.36564341,34.36785117,84.446,19.446,1,19.446,5.880874114,6.378963577,electric,1,1,0,0
52,NC,NC1 Lion,EV055,5/31/2022,5.807021968,0.965277778,0.281111111,16.86666666,0.684166667,13.83054564,29.04414585,59.342,-5.658,0,0,8.724573831,5.001556049,electric,1,1,0,0
53,NC,NC1 Lion,EV055,6/1/2022,9.694532331,2.510277777,0.984444445,59.0666667,1.525833334,27.36081348,57.45770831,74.324,9.324,1,9.324,4.342001075,5.926815895,electric,1,1,0,0
54,NC,NC1 Lion,EV055,6/2/2022,11.92507179,2.149444445,0.436388889,26.18333334,1.713055556,29.37285904,61.68300398,75.071,10.071,1,10.071,6.199291403,5.172547812,electric,1,1,0,0
55,NC,NC1 Lion,EV055,6/3/2022,20.33649347,4.051666667,1.129444445,67.7666667,2.922222221,50.95489814,107.0052861,72.944,7.944,1,7.944,6.20405693,5.261737293,electric,1,1,0,0
56,NC,NC1 Lion,EV055,6/4/2022,13.93577521,2.282222222,0.552222223,33.13333338,1.73,34.12685172,71.66638861,81.43100782,16.43100782,1,16.43100782,7.158037352,5.142619447,electric,1,1,0,0
58,NC,NC1 Lion,EV055,6/14/2022,9.816776145,1.632777778,0.433611111,26.01666666,1.199166667,25.87954783,54.34705044,75.164,10.164,1,10.164,7.645444429,5.536140342,electric,1,1,0,0
59,NC,NC1 Lion,EV055,6/15/2022,12.39682247,0.832222222,0.0525,3.15,0.779722222,29.32267367,61.5776147,89.501,24.501,1,24.501,16.51709287,4.967209529,electric,1,1,0,0
60,NC,NC1 Lion,EV055,6/16/2022,14.42656414,1.0425,0.045,2.7,0.9975,23.22697967,48.77665731,69.776,4.776,1,4.776,9.355402958,3.381030773,electric,1,1,0,0
61,NC,NC1 Lion,EV055,6/17/2022,10.64740719,0.981944444,0.173055556,10.38333336,0.808888889,24.60604352,51.67269139,88.88003519,23.88003519,1,23.88003519,12.73933822,4.853077418,electric,1,1,0,0
62,NC,NC1 Lion,EV055,6/22/2022,11.21534313,1.0175,0.155277778,9.31666668,0.862222222,27.45087421,57.64683584,102.974,37.974,1,37.974,13.1238898,5.139997517,electric,1,1,0,0
63,NC,NC1 Lion,EV055,6/23/2022,11.18305037,1.086666667,0.257222222,15.43333332,0.829444444,28.07367533,58.9547182,106.673,41.673,1,41.673,13.35775789,5.271792244,electric,1,1,0,0
64,NC,NC1 Lion,EV055,6/24/2022,17.12433671,2.099722223,0.501666666,30.09999996,1.598055555,43.09921939,90.50836073,87.08675,22.08675,1,22.08675,11.29557068,5.285364464,electric,1,1,0,0
65,NC,NC1 Lion,EV055,6/28/2022,11.12476772,1.194722222,0.3275,19.65,0.867222222,27.66585516,58.09829583,99.887,34.887,1,34.887,12.80987614,5.222427766,electric,1,1,0,0
66,NC,NC1 Lion,EV055,6/29/2022,11.88239447,1.149722222,0.245833333,14.74999998,0.903888889,29.77793116,62.53365543,101.642,36.642,1,36.642,13.38507561,5.262714985,electric,1,1,0,0
68,NC,NC1 Lion,EV055,7/1/2022,11.22915337,1.128888889,0.314166667,18.85000002,0.814722222,24.30772525,51.04622302,90.689,25.689,1,25.689,13.82269886,4.545865689,electric,1,1,0,0
69,NC,NC1 Lion,EV056,6/3/2021,26.21433757,3.764444444,1.555555555,93.3333333,2.208888889,42.08902437,88.38695119,73.17683519,8.17683519,1,8.17683519,11.85052184,3.37170264,electric,1,1,0,0
70,NC,NC1 Lion,EV056,6/4/2021,10.21865306,1.712222222,0.844444444,50.66666664,0.867777778,12.96221604,27.22065368,67.676,2.676,1,2.676,9.792607468,2.663820126,electric,1,1,0,0
71,NC,NC1 Lion,EV056,9/18/2021,6.458184562,13.53388889,13.06166667,783.7000002,0.472222222,12.5146736,26.28081456,81.068,16.068,1,16.068,13.67615554,4.069381156,electric,1,1,0,0
74,NC,NC1 Lion,EV057,4/15/2021,14.64077386,1.221666667,0.132777778,7.96666668,1.088888889,15.05310389,31.61151817,45.22103519,-19.77896481,0,0,14.30102317,2.159142575,electric,1,1,0,0
