id,Fleet,Vehicle ID,Date,Energy Consumption Rate,Total Distance,Total Run Time,Idling Time,Driving Time,Initial SOC,Final SOC,SOC Used,Min SOC,Max SOC,Total Energy Consumption,Average Ambient Temperature,Average Speed,Initial Odometer,Final Odometer,Percent Idling Time,Average Driving Speed,Fleet_full,Region,Fleet ID,Model Year,Initial Service Year,Data Collection Start,Data Collection End,Model Name,Manufacturer,Weight Class,Curb Weight,Capital Cost,Nominal Range,Nominal Efficiency,Peak Power,Peak Torque,Towing Capacity,Battery Chemistry,Rated Energy,Fuel Fired Heater?,Max Charge Rate,Charge Connector,Total Fleet Size,% Electrified,State,Census Region,Body Style,Sector,Vocation,Vehicle Platform,Fleet Type,Data Collection Method,Heater Type,vehicle_name
81,NC1,EV057,4/23/21,2.091184816,23.59981278,1.713888889,0.394722222,1.319166667,NA,NA,23.50074769,NA,NA,49.35157014,47.327,13.7697449,17374.54475,17399.5603,0.230307942,17.8899402,NC1 Lion,NC,Fleet10,2017,2015,44217,2022-05-23T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
82,NC1,EV057,4/24/21,2.643842866,22.10160137,1.168888889,0.010555556,1.158333333,NA,NA,27.82531481,NA,NA,58.43316111,63.56,18.9082141,17406.33915,17428.5399,0.009030419,19.08051917,NC1 Lion,NC,Fleet10,2017,2015,44217,2022-05-23T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
83,NC1,EV057,4/27/21,2.476716683,40.22428827,2.750555555,0.140833334,2.609722223,NA,NA,47.44007897,NA,NA,99.62416583,51.1775,14.62405956,17465.55582,17484.48827,0.051201778,15.4132451,NC1 Lion,NC,Fleet10,2017,2015,44217,2022-05-23T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
84,NC1,EV057,4/28/21,3.229238329,10.86689708,0.738055556,0.015833333,0.722222222,NA,NA,16.71038122,NA,NA,35.09180057,62.843,14.72368441,17521.04427,17532.01136,0.021452766,15.04647288,NC1 Lion,NC,Fleet10,2017,2015,44217,2022-05-23T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
85,NC1,EV057,5/4/21,3.080446811,23.00090562,1.693888889,0.183611111,1.510277777,NA,NA,33.73955542,NA,NA,70.85306637,67.352,13.57875701,17633.87776,17644.67591,0.108396195,15.22958622,NC1 Lion,NC,Fleet10,2017,2015,44217,2022-05-23T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
86,NC1,EV057,5/7/21,2.76850499,42.04951919,2.752222222,0.176388889,2.575833333,NA,NA,55.43538271,NA,NA,116.4143037,62.49741407,15.27838808,17740.97157,17751.91457,0.064089625,16.32462732,NC1 Lion,NC,Fleet10,2017,2015,44217,2022-05-23T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
87,NC1,EV057,5/10/21,2.584267581,18.91886428,1.608611111,0.220555556,1.388055556,NA,NA,23.28162268,NA,NA,48.89140763,61.37247038,11.76099316,17794.05997,17813.67986,0.137109308,13.62976013,NC1 Lion,NC,Fleet10,2017,2015,44217,2022-05-23T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
88,NC1,EV057,5/11/21,2.95448527,30.15442222,2.194444444,0.291111111,1.903333333,NA,NA,42.42418871,NA,NA,89.0907963,73.615,13.7412557,17831.91628,17842.96017,0.132658228,15.84295389,NC1 Lion,NC,Fleet10,2017,2015,44217,2022-05-23T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
90,NC1,EV057,5/14/21,2.004895802,18.77415128,2.072222222,0.653055555,1.419166667,NA,NA,17.9239129,NA,NA,37.6402171,67.5245,9.059912148,17913.38282,17921.2542,0.315147453,13.22899679,NC1 Lion,NC,Fleet10,2017,2015,44217,2022-05-23T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
91,NC1,EV057,5/17/21,1.414313277,17.18552237,1.455555555,0.326666667,1.128888889,NA,NA,11.57414879,NA,NA,24.30571246,64.04002346,11.80684744,17956.88081,17962.29007,0.224427481,15.2233958,NC1 Lion,NC,Fleet10,2017,2015,44217,2022-05-23T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
